step,episode,A,phi,n,reward
241,31,9.759313762187958,1.3009658839587988,6,0.14566613869825806
242,31,9.693686962127686,1.4332196702858806,6,0.1447834138201245
243,31,9.684045016765594,1.7484984116935731,6,0.1444604200722408
244,31,9.697578251361847,1.312937188358,6,0.1444140519315158
245,31,9.582059681415558,1.3347196406196804,6,0.14206851609257054
246,31,9.57312524318695,1.4562853708785386,6,0.14228041602396369
247,31,9.643902629613876,1.4261025387283446,6,0.14370536957899938
248,31,9.76867213845253,1.5340886441568375,6,0.14654349259452482
249,32,9.81908693909645,1.7042141727964417,6,0.14746323983772136
250,32,9.710737764835358,1.5459298073638559,6,0.14531961016291306
251,32,9.772678911685944,1.4678426577584358,6,0.14654066681675104
252,32,9.672106802463531,1.5667085807908596,6,0.1444992060432897
253,32,9.756173640489578,1.4918916265527518,6,0.14623077318757738
254,32,9.861609637737274,1.1390631252497436,6,0.1467176954479592
255,32,9.750510305166245,1.5524042848615767,6,0.14616708964262282
256,32,9.605865627527237,1.9721875271132203,6,0.14152455053098567
257,33,9.759138226509094,1.7484358690199198,6,0.14605767926821067
258,33,9.828298389911652,1.5885288582623542,6,0.14782703701501676
259,33,9.812643229961395,1.343622796193102,6,0.14700696691167892
260,33,9.84292820096016,1.4107649779091835,6,0.14790710071860258
261,33,9.806195944547653,1.679205342489709,6,0.14724319658929286
262,33,9.81895700097084,1.4494227168464364,6,0.14748808396902202
263,33,9.779328554868698,1.422194370639065,6,0.1465762328708098
264,33,9.808880984783173,1.8183283367218808,6,0.14683224967316533
265,34,9.764378815889359,1.5659736107486755,6,0.1464621128667749
266,34,9.851962625980377,1.488362646829185,6,0.14827821953287135
267,34,9.80077937245369,1.2946402730046542,6,0.14651473379236069
268,34,9.880973994731903,1.6095054650268272,6,0.14896353410606888
269,34,9.863043129444122,1.7294788850299627,6,0.1483491512312174
270,34,9.83210027217865,1.4591874258374602,6,0.14779318780466455
271,34,9.840940237045288,1.4642681754309834,6,0.1479953678621555
272,34,9.854879081249237,1.4536529609796793,6,0.1482750196568583
273,35,9.84090968966484,1.6277645551703588,6,0.14806923222348622
274,35,9.864569306373596,1.3739638575625688,6,0.1482537227785079
275,35,9.874772131443024,1.37182766947563,6,0.14846960418402144
276,35,9.876496940851212,1.4901878068294825,6,0.1488172750550627
277,35,9.807468205690384,1.6523316544377253,6,0.147319031646707
278,35,9.867875725030899,1.5210784572623404,6,0.1486654112107888
279,35,9.870890229940414,1.4104661213009477,6,0.14851602576735234
280,35,9.864461869001389,1.3944115667769403,6,0.14832346537887808
281,36,9.886981695890427,1.3477414372320415,6,0.14864164929225288
282,36,9.841899126768112,1.2817441235001417,6,0.1473279298405472
283,36,9.9092598259449,1.3268280285285206,6,0.14904134653989187
284,36,9.916656166315079,1.4674829437581718,6,0.1496692169923437
285,36,9.863276481628418,1.1880538875928046,6,0.14716585177826902
286,36,9.887279719114304,1.4237234828338357,6,0.14891499485948945
287,36,9.880379140377045,1.384606411026907,6,0.148638055277023
288,36,9.9192476272583,1.393523236106846,6,0.1495329917905479
289,37,9.9252350628376,1.422769051673323,6,0.14975849286507814
290,37,9.928096532821655,1.4741238896297784,6,0.14993870133132203
291,37,9.90016222000122,1.4093463452876331,6,0.14915847269049465
292,37,9.919726997613907,1.3631864815681995,6,0.14943493128951002
293,37,9.92425724864006,1.3978156484067144,6,0.14965971756918983
294,37,9.877834022045135,1.7225803719499426,6,0.14869367566885083
295,37,9.91553083062172,1.5245362806506129,6,0.14972417603192678
296,37,9.92228627204895,1.3591247655974956,6,0.14947618230074422
297,38,9.9261374771595,1.2141984104615362,6,0.14875482069003754
298,38,9.89446446299553,1.3733895510353387,6,0.14890969736120452
299,38,9.903174489736557,1.2312905367062421,6,0.14836138290758494
300,38,9.92932677268982,1.4011116847589493,6,0.14978473986477692
301,38,9.9224254488945,1.3318810646019816,6,0.14935993795313496
302,38,9.922943860292435,1.3097604324941396,6,0.14926472327084772
303,38,9.919325411319733,1.351701849051708,6,0.14937878983227715
304,38,9.876499772071838,1.2754158909968019,6,0.1480468464520457
305,39,9.942168146371841,1.265328356947759,6,0.14945225337406542
306,39,9.943264871835709,1.2265314886496546,6,0.14922969832317134
307,39,9.936753809452057,1.4735346028214336,6,0.15013351966988497
308,39,9.922898411750793,1.2505401979384752,6,0.1489267388720803
309,39,9.917507618665695,1.5313757152469873,6,0.14977485298273163
310,39,9.928512573242188,1.5054420398349435,6,0.14999321278908262
311,39,9.94773417711258,1.5471076319664896,6,0.1504670616520578
312,39,9.940297305583954,1.2421149133326084,6,0.14926647351618283
313,40,9.926822632551193,1.2419181098894656,6,0.14896054132015268
314,40,9.927404671907425,1.5550883767302812,6,0.1500092656117542
315,40,9.935016185045242,1.3029636916989418,6,0.14950238253816295
316,40,9.931710213422775,1.2823171192527743,6,0.14931548706588726
317,40,9.919903725385666,1.4768974886781425,6,0.14976004938096765
318,40,9.929163008928299,1.2557338614008993,6,0.14909939188995103
319,40,9.942126721143723,1.3311333613208503,6,0.149801367195459
320,40,9.913172572851181,1.3859100699909033,6,0.14937037930221342
321,41,9.938888996839523,1.3981691830410183,6,0.149991362338862
322,41,9.933650344610214,1.3843307738543988,6,0.149824788417384
323,41,9.930540323257446,1.4777850703341813,6,0.1500005878686621
324,41,9.948357343673706,1.324417514043671,6,0.14991053707814594
325,41,9.931162744760513,1.4320703082173647,6,0.14991566088796215
326,41,9.935995936393738,1.3871195404373915,6,0.14988771708553417
327,41,9.945364594459534,1.3491027702783287,6,0.14995531530135264
328,41,9.944082647562027,1.48181701299617,6,0.15031403543111166
329,42,9.950551688671112,1.251258689671433,6,0.14955688731559813
330,42,9.942990392446518,1.4697359780378045,6,0.15026740007735828
331,42,9.940148144960403,1.3183020015321583,6,0.1496940878449471
332,42,9.958676099777222,1.126830227691579,6,0.1487752758473493
333,42,9.935228526592255,1.320587805176729,6,0.14959404996750014
334,42,9.949402511119843,1.417262674842632,6,0.15028991277498704
335,42,9.943711310625076,1.4556835380847604,6,0.15025368536868378
336,42,9.943273216485977,1.2595939053370984,6,0.14944215940192396
337,43,9.936066269874573,1.3912172090827704,6,0.14990401039993118
338,43,9.94480088353157,1.4447050518164277,6,0.15025284364764468
339,43,9.932187795639038,1.396681266619313,6,0.14983477550431457
340,43,9.958654940128326,1.4051288343933375,6,0.15046422251363278
341,43,9.93432879447937,1.4660096331105532,6,0.1500637971104919
342,43,9.924165159463882,1.4376300522995265,6,0.1497709650331711
343,43,9.93373990058899,1.4432523390553416,6,0.14999904471342407
344,43,9.953083544969559,1.2694355755223483,6,0.14972579267074737
345,44,9.958576411008835,1.3185836308171124,6,0.15011554959373585
346,44,9.943538010120392,1.2343869608126254,6,0.14928934695140006
347,44,9.941286593675613,1.430917013825056,6,0.15014179659343463
348,44,9.949417859315872,1.365085981213528,6,0.15011328496332155
349,44,9.956551641225815,1.4439549142396153,6,0.15051904126637594
350,44,9.942394196987152,1.3117138611514807,6,0.14971324033874578
351,44,9.948464184999466,1.46820143549113,6,0.15038854110371025
352,44,9.937479943037033,1.4793169913316608,6,0.1501605415873657
353,45,9.947720021009445,1.2898402164285154,6,0.1497207156232112
354,45,9.948376566171646,1.5002895721455842,6,0.15043721395680354
355,45,9.947076886892319,1.3033640397117288,6,0.1497780060964653
356,45,9.940969944000244,1.1945057074153393,6,0.148942698170192
357,45,9.949906021356583,1.2468885671632828,6,0.14951515532091286
358,45,9.94125097990036,1.2012689298315435,6,0.1490000621270291
359,45,9.962161630392075,1.5141043873894484,6,0.1507680971693457
360,45,9.950487464666367,1.3622296161120058,6,0.15012655209017356
361,46,9.942691028118134,1.3966580471835852,6,0.15007230784544134
362,46,9.948944300413132,1.2907813525895389,6,0.1497538233174096
363,46,9.960947632789612,1.5838255181261616,6,0.15077123692242722
364,46,9.958252161741257,1.2771322567055048,6,0.14988967442096612
365,46,9.963708072900772,1.3078234821460248,6,0.1501805625235062
366,46,9.942796975374222,1.379497760659808,6,0.15001489044599858
367,46,9.929351657629013,1.2911637242649885,6,0.1493117126818635
368,46,9.954763054847717,1.4802980124911518,6,0.1505549680580227
369,47,9.942588061094284,1.3599046764830232,6,0.1499374721513922
370,47,9.958097040653229,1.2259785290230125,6,0.1495639283788921
371,47,9.959520995616913,1.4075047069781095,6,0.15049173877521582
372,47,9.950388222932816,1.2649512283706994,6,0.1496369443388581
373,47,9.95326578617096,1.5304892571120323,6,0.15058255112286245
374,47,9.9556303024292,1.423924031347257,6,0.15045065477212405
375,47,9.96745154261589,1.3743185157179565,6,0.1505600718268616
376,47,9.938231855630875,1.408257840611145,6,0.15000918544784558
377,48,9.95885580778122,1.3799072840947777,6,0.15038238184340935
378,48,9.962859004735947,1.387148751985565,6,0.15049967500215433
379,48,9.96934860944748,1.4094422190867664,6,0.15072298492985325
380,48,9.958896934986115,1.277228130504638,6,0.14990505253074127
381,48,9.959392249584198,1.3165393842055142,6,0.15012442774659918
382,48,9.962452203035355,1.3115367193273009,6,0.1501701278547538
383,48,9.971002787351608,1.4884278110520335,6,0.1509401957201828
384,48,9.96441200375557,1.3491471493611307,6,0.15039093266031278
385,49,9.957869946956635,1.4363835056572796,6,0.15053228167192523
386,49,9.958970993757248,1.4614425199057461,6,0.15061440959615413
387,49,9.953850954771042,1.5078566738970995,6,0.1505702994055178
388,49,9.956725090742111,1.542713541008556,6,0.150670350643616
389,49,9.9692302942276,1.4272442234027893,6,0.1507713304469871
390,49,9.949533492326736,1.4834493018771173,6,0.15044065432454223
391,49,9.970654547214508,1.418663143873331,6,0.15078072298492984
392,49,9.957226663827896,1.468217539293328,6,0.15058878386674612
393,50,9.9687659740448,1.4170872183000773,6,0.1507326981234296
394,50,9.967960715293884,1.426902298486349,6,0.15074106857153935
395,50,9.963656067848206,1.33139383095873,6,0.1502939944539936
396,50,9.950136840343475,1.5133999396700353,6,0.15049268738146626
397,50,9.965594708919525,1.5274182994835437,6,0.15086210271267997
398,50,9.972001165151596,1.3697212546974065,6,0.1506482855278093
399,50,9.96064767241478,1.4056615706404747,6,0.15051168622777356
400,50,9.961708784103394,1.4243176382335425,6,0.1505908213660867
401,51,9.974909275770187,1.4797446783574821,6,0.15101625790867068
402,51,9.971026182174683,1.4205826796446503,6,0.15079469154598102
403,51,9.968514889478683,1.4489935317925038,6,0.15080537338678468
404,51,9.968713819980621,1.5031330167546453,6,0.15090573860019107
405,51,9.967615306377411,1.4280578399208248,6,0.15073605832725967
406,51,9.966088831424713,1.2744472285692305,6,0.15005378998258445
407,51,9.969350099563599,1.2883807625409276,6,0.15020782493271234
408,51,9.956685900688171,1.4874443555968613,6,0.15061020099095956
409,52,9.962063431739807,1.27814585997642,6,0.14998285828423863
410,52,9.965795427560806,1.4289538479849906,6,0.15069646403680048
411,52,9.964244365692139,1.5881568791569278,6,0.15084647743085333
412,52,9.965128004550934,1.3383104140028448,6,0.15035926791646625
413,52,9.969841539859772,1.5347341070193619,6,0.15096549411363114
414,52,9.96943086385727,1.4055922868403197,6,0.15071277071184874
415,52,9.963599145412445,1.4707415294076205,6,0.15073995295714648
416,52,9.963811337947845,1.4852634139200926,6,0.1507700478244518
417,53,9.971957057714462,1.3954893980031342,6,0.15073797558073743
418,53,9.96358036994934,1.4004841982337626,6,0.15056190223610555
419,53,9.9696546792984,1.433497929007584,6,0.15079631486512768
420,53,9.97141346335411,1.3763056500078052,6,0.15065859327037345
421,53,9.97079610824585,1.456367575171155,6,0.15087463500370424
422,53,9.968495070934296,1.3885745002406449,6,0.15063448397490076
423,53,9.970169067382812,1.3899564311734647,6,0.1506780062968749
424,53,9.966929256916046,1.4506237608847976,6,0.15077276671701423
425,54,9.969737529754639,1.4094330436645837,6,0.15073187644336783
426,54,9.952971637248993,1.3185658417332888,6,0.14998730738115884
427,54,9.966299831867218,1.5005622132618697,6,0.1508473124715668
428,54,9.964965134859085,1.3465044405190052,6,0.1503919413894943
429,54,9.96633991599083,1.3649142697412522,6,0.15049989545290288
430,54,9.972036480903625,1.5178118197117925,6,0.1509998109467825
431,54,9.970483779907227,1.3757247896075875,6,0.1506350250812829
432,54,9.968438297510147,1.4149426038050117,6,0.15071884980824124
433,55,9.969903528690338,1.3874378714110762,6,0.15066288203947686
434,55,9.969410598278046,1.3165682212466598,6,0.1503546651720551
435,55,9.978212863206863,1.4125950065008432,6,0.15093723633589473
436,55,9.970483034849167,1.6288506255511657,6,0.15095786518167476
437,55,9.961688071489334,1.5121421578169525,6,0.15075481668184199
438,55,9.97555062174797,1.499798967939082,6,0.1510595397389194
439,55,9.973053634166718,1.4783095674267055,6,0.1509709786610356
440,55,9.962827414274216,1.4237341562841297,6,0.1506149306615594
441,56,9.971017390489578,1.3540030074844212,6,0.1505634453913436
442,56,9.965708255767822,1.4247986925108345,6,0.15068378477861044
443,56,9.968225657939911,1.336394810555318,6,0.15042184920767987
444,56,9.980758875608444,1.4197804855909646,6,0.15101727999850367
445,56,9.97089371085167,1.3247347214962721,6,0.15042834248426606
446,56,9.971702545881271,1.459489465755433,6,0.15090239175701248
447,56,9.968650788068771,1.407069717065245,6,0.15069960378988245
448,56,9.971094727516174,1.467551853051299,6,0.15090545802651167
449,57,9.972172677516937,1.5063756858554096,6,0.1509890623027217
450,57,9.974782019853592,1.4701031821786255,6,0.15099557562028476
451,57,9.974953830242157,1.434528572348267,6,0.1509208762182408
452,57,9.976164698600769,1.3414221928973706,6,0.1506272491821612
453,57,9.97471034526825,1.4831281621007235,6,0.1510173067198064
454,57,9.975939095020294,1.529017257239011,6,0.15110145210239856
455,57,9.977263510227203,1.3922510357331903,6,0.15084954370035253
456,57,9.967607408761978,1.4648250673814178,6,0.15081978952965835
457,58,9.976682960987091,1.421921355015752,6,0.15092883916648225
458,58,9.97108206152916,1.5096172314350904,6,0.1509679123915364
459,58,9.983279407024384,1.5021875737628014,6,0.15124044295903705
460,58,9.975406527519226,1.2973088228317022,6,0.15039600302752376
461,58,9.979385286569595,1.4862060481092274,6,0.1511302309455398
462,58,9.976769387722015,1.4018987112780066,6,0.15087008570189853
463,58,9.967558979988098,1.564217547295019,6,0.15092298720116393
464,58,9.970736503601074,1.4031343972164454,6,0.15073485586863256
465,59,9.974216520786285,1.5407365184084596,6,0.15107035518623735
466,59,9.976737946271896,1.4707699919417383,5,0.13286031505752116
467,59,9.974067211151123,1.4331050711353541,6,0.15089706753742482
468,59,9.978440701961517,1.3811064555979997,6,0.15083720513877363
469,59,9.977408200502396,1.4349753592325092,6,0.15097849402745478
470,59,9.978987872600555,1.3615641171234907,6,0.15077838487093276
471,59,9.980281740427017,1.4736812223228426,6,0.1511297499620894
472,59,9.976324439048767,1.4019316678964586,6,0.15085989820519696
473,60,9.97357189655304,1.3704236426281662,6,0.1506871182611378
474,60,9.980463832616806,1.410935565860376,6,0.1509844461976586
475,60,9.974983632564545,1.4176980392625242,6,0.150877661191249
476,60,9.977437257766724,1.4663354542247953,6,0.15104949252905775
477,60,9.980710744857788,1.4751837445186349,6,0.15114240917930188
478,60,9.980169534683228,1.4715427871937365,6,0.15112306963638322
479,60,9.978883862495422,1.483582626379037,6,0.15111455890143377
480,60,9.969837367534637,1.455679418507454,6,0.15085095992940234
